route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
100289,1,"9","","Rainier Beach - Columbia City - Broadway",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/009.html,,
100290,1,"901","","Mirror Lake - Federal Way TC",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/901.html,,
100292,1,"903","","Twin Lakes - Federal Way TC",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/903.html,,
100297,1,"914","","Downtown Kent - Kent East Hill",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/914.html,,
100300,1,"917","","Pacific - Algona - Auburn Station",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/917.html,,
100336,1,"973","","Water Taxi: West Seattle - Downtown Seattle",4,http://www.kingcounty.gov/transportation/kcdot/WaterTaxi.aspx,,
100337,1,"975","","Water Taxi: Vashon Island - Downtown Seattle",4,http://www.kingcounty.gov/transportation/kcdot/WaterTaxi.aspx,,
100340,23,"South Lake Union Streetcar","","Streetcar: Fairview/Aloha - Westlake/McGraw",0,https://www.seattle.gov/transportation/getting-around/transit/streetcar/south-lake-union-line,,
100341,1,"982","","Bear Creek P&R - Lakeside School",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/982.html,,
100344,1,"986","","Kirkland - Lakeside School",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/986.html,,
100345,1,"987","","Rainier Beach - Lakeside School",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/987.html,,
100346,1,"988","","Madrona - Lakeside School",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/988.html,,
100347,1,"989","","Eastgate - Lakeside School",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/989.html,,
100447,1,"49","","Univ District - Broadway - Downtown Seattle",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/049.html,,
100451,40,"556","","Issaquah-University District",3,https://www.soundtransit.org/556,2B376E,FFFFFF
100459,1,"218","","Issaquah Highlands - Downtown Seattle",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/218.html,,
100473,1,"981","","Lakeside School - Houghton P&R",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/981.html,,
100481,1,"775","","Seacrest Park - Admiral District - Alki",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/775.html,,
100487,1,"102","","Fairwood - Downtown Seattle",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/102.html,,
100489,1,"156","","Southcenter - SeaTac - Des Moines - Highline Coll",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/156.html,,
100495,1,"193","","Federal Way S 320th P&R-Federal Way TC-First Hill",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/193.html,,
100496,1,"930","","Kingsgate P&R - Redmond Town Center",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/930.html,,
100511,40,"542","","Redmond - University District",3,https://www.soundtransit.org/542,2B376E,FFFFFF
100512,1,"A Line","","Federal Way TC - SeaTac - Tukwila Intl Blvd Sta",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/a-line.html,,
102548,1,"B Line","","Redmond TC - Overlake TC - Bellevue TC",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/b-line.html,,
102552,1,"226","","Eastgate P&R-Crossroads-Overlake-Bellevue TC",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/226.html,,
102554,1,"241","","Eastgate P&R - Bellevue Transit Center",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/241.html,,
102555,1,"893","","Forbes Crk - Kirkland - Lk WA HS",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/893.html,,
102557,1,"915","","Enumclaw - Auburn Station",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/915.html,,
102561,1,"907","","Enumclaw - Renton TC",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/907.html,,
102574,1,"40","","Northgte-Ballard-Fremont-Westlake-Downtown Seattle",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/040.html,,
