,shortname,route_id,shape,direction,path,rider_dict,period,riders,bus,seeds,traffic,signal_chance,wind_speeds,wind_directions,trip,result
28,50,100230,41050005,1,./KC_Example_Data/Saved_Routes/rt50_sh41050005_d1.json,{'AM': 35.48968253968257},AM,35.48968253968257,<Object_Params.Bus object at 0x7936e34b3170>,0,0.0,0.4000000000000001,1.8940000000000001,NW,<Object_Params.Trip object at 0x7936e578b8f0>,0.3005210052128152
29,50,100230,41050005,1,./KC_Example_Data/Saved_Routes/rt50_sh41050005_d1.json,{'AM': 35.48968253968257},AM,35.48968253968257,<Object_Params.Bus object at 0x7936e34b3170>,0,0.0,0.4000000000000001,1.8940000000000001,SE,<Object_Params.Trip object at 0x7936e5789100>,0.2904617069402608
30,50,100230,41050005,1,./KC_Example_Data/Saved_Routes/rt50_sh41050005_d1.json,{'AM': 35.48968253968257},AM,35.48968253968257,<Object_Params.Bus object at 0x7936e34b3170>,0,0.0,0.4000000000000001,2.3940000000000006,NW,<Object_Params.Trip object at 0x7936e578a7b0>,0.3005210052128152
31,50,100230,41050005,1,./KC_Example_Data/Saved_Routes/rt50_sh41050005_d1.json,{'AM': 35.48968253968257},AM,35.48968253968257,<Object_Params.Bus object at 0x7936e34b3170>,0,0.0,0.4000000000000001,2.3940000000000006,SE,<Object_Params.Trip object at 0x7936e578bda0>,0.2904617069402608
32,50,100230,41050005,1,./KC_Example_Data/Saved_Routes/rt50_sh41050005_d1.json,{'AM': 35.48968253968257},AM,35.48968253968257,<Object_Params.Bus object at 0x7936e34b3170>,0,0.0,0.4000000000000001,2.8940000000000006,NW,<Object_Params.Trip object at 0x7936e578ab70>,0.3005210052128152
33,50,100230,41050005,1,./KC_Example_Data/Saved_Routes/rt50_sh41050005_d1.json,{'AM': 35.48968253968257},AM,35.48968253968257,<Object_Params.Bus object at 0x7936e34b3170>,0,0.0,0.4000000000000001,2.8940000000000006,SE,<Object_Params.Trip object at 0x7936e5788a70>,0.2904617069402608
34,50,100230,41050005,1,./KC_Example_Data/Saved_Routes/rt50_sh41050005_d1.json,{'AM': 35.48968253968257},AM,35.48968253968257,<Object_Params.Bus object at 0x7936e34b3170>,0,0.0,0.4000000000000001,3.3940000000000006,NW,<Object_Params.Trip object at 0x7936e578bd70>,0.3005210052128152
35,50,100230,41050005,1,./KC_Example_Data/Saved_Routes/rt50_sh41050005_d1.json,{'AM': 35.48968253968257},AM,35.48968253968257,<Object_Params.Bus object at 0x7936e34b3170>,0,0.0,0.4000000000000001,3.3940000000000006,SE,<Object_Params.Trip object at 0x7936e5788950>,0.2904617069402608
36,50,100230,41050005,1,./KC_Example_Data/Saved_Routes/rt50_sh41050005_d1.json,{'AM': 35.48968253968257},AM,35.48968253968257,<Object_Params.Bus object at 0x7936e34b3170>,0,0.0,0.5000000000000001,0.894,NW,<Object_Params.Trip object at 0x7936e578bd10>,0.3004944185801342
37,50,100230,41050005,1,./KC_Example_Data/Saved_Routes/rt50_sh41050005_d1.json,{'AM': 35.48968253968257},AM,35.48968253968257,<Object_Params.Bus object at 0x7936e34b3170>,0,0.0,0.5000000000000001,0.894,SE,<Object_Params.Trip object at 0x7936e5788260>,0.2904368703069011
38,50,100230,41050005,1,./KC_Example_Data/Saved_Routes/rt50_sh41050005_d1.json,{'AM': 35.48968253968257},AM,35.48968253968257,<Object_Params.Bus object at 0x7936e34b3170>,0,0.0,0.5000000000000001,1.3940000000000001,NW,<Object_Params.Trip object at 0x7936e578be00>,0.3004944185801342
39,50,100230,41050005,1,./KC_Example_Data/Saved_Routes/rt50_sh41050005_d1.json,{'AM': 35.48968253968257},AM,35.48968253968257,<Object_Params.Bus object at 0x7936e34b3170>,0,0.0,0.5000000000000001,1.3940000000000001,SE,<Object_Params.Trip object at 0x7936e5789250>,0.2904368703069011
40,50,100230,41050005,1,./KC_Example_Data/Saved_Routes/rt50_sh41050005_d1.json,{'AM': 35.48968253968257},AM,35.48968253968257,<Object_Params.Bus object at 0x7936e34b3170>,0,0.0,0.5000000000000001,1.8940000000000001,NW,<Object_Params.Trip object at 0x7936e578a510>,0.3004944185801342
41,50,100230,41050005,1,./KC_Example_Data/Saved_Routes/rt50_sh41050005_d1.json,{'AM': 35.48968253968257},AM,35.48968253968257,<Object_Params.Bus object at 0x7936e34b3170>,0,0.0,0.5000000000000001,1.8940000000000001,SE,<Object_Params.Trip object at 0x7936e5789e50>,0.2904368703069011
42,50,100230,41050005,1,./KC_Example_Data/Saved_Routes/rt50_sh41050005_d1.json,{'AM': 35.48968253968257},AM,35.48968253968257,<Object_Params.Bus object at 0x7936e34b3170>,0,0.0,0.5000000000000001,2.3940000000000006,NW,<Object_Params.Trip object at 0x7936e578a090>,0.3004944185801342
43,50,100230,41050005,1,./KC_Example_Data/Saved_Routes/rt50_sh41050005_d1.json,{'AM': 35.48968253968257},AM,35.48968253968257,<Object_Params.Bus object at 0x7936e34b3170>,0,0.0,0.5000000000000001,2.3940000000000006,SE,<Object_Params.Trip object at 0x7936e5789340>,0.2904368703069011
44,50,100230,41050005,1,./KC_Example_Data/Saved_Routes/rt50_sh41050005_d1.json,{'AM': 35.48968253968257},AM,35.48968253968257,<Object_Params.Bus object at 0x7936e34b3170>,0,0.0,0.5000000000000001,2.8940000000000006,NW,<Object_Params.Trip object at 0x7936e578a840>,0.3004944185801342
45,50,100230,41050005,1,./KC_Example_Data/Saved_Routes/rt50_sh41050005_d1.json,{'AM': 35.48968253968257},AM,35.48968253968257,<Object_Params.Bus object at 0x7936e34b3170>,0,0.0,0.5000000000000001,2.8940000000000006,SE,<Object_Params.Trip object at 0x7936e5788050>,0.2904368703069011
46,50,100230,41050005,1,./KC_Example_Data/Saved_Routes/rt50_sh41050005_d1.json,{'AM': 35.48968253968257},AM,35.48968253968257,<Object_Params.Bus object at 0x7936e34b3170>,0,0.0,0.5000000000000001,3.3940000000000006,NW,<Object_Params.Trip object at 0x7936e5788980>,0.3004944185801342
47,50,100230,41050005,1,./KC_Example_Data/Saved_Routes/rt50_sh41050005_d1.json,{'AM': 35.48968253968257},AM,35.48968253968257,<Object_Params.Bus object at 0x7936e34b3170>,0,0.0,0.5000000000000001,3.3940000000000006,SE,<Object_Params.Trip object at 0x7936e57882c0>,0.2904368703069011
48,50,100230,41050005,1,./KC_Example_Data/Saved_Routes/rt50_sh41050005_d1.json,{'AM': 35.48968253968257},AM,35.48968253968257,<Object_Params.Bus object at 0x7936e34b3170>,0,0.0,0.6000000000000001,0.894,NW,<Object_Params.Trip object at 0x7936e5789910>,0.30046783665119425
49,50,100230,41050005,1,./KC_Example_Data/Saved_Routes/rt50_sh41050005_d1.json,{'AM': 35.48968253968257},AM,35.48968253968257,<Object_Params.Bus object at 0x7936e34b3170>,0,0.0,0.6000000000000001,0.894,SE,<Object_Params.Trip object at 0x7936e578bf20>,0.2904120379206114
50,50,100230,41050005,1,./KC_Example_Data/Saved_Routes/rt50_sh41050005_d1.json,{'AM': 35.48968253968257},AM,35.48968253968257,<Object_Params.Bus object at 0x7936e34b3170>,0,0.0,0.6000000000000001,1.3940000000000001,NW,<Object_Params.Trip object at 0x7936e57883b0>,0.30046783665119425
51,50,100230,41050005,1,./KC_Example_Data/Saved_Routes/rt50_sh41050005_d1.json,{'AM': 35.48968253968257},AM,35.48968253968257,<Object_Params.Bus object at 0x7936e34b3170>,0,0.0,0.6000000000000001,1.3940000000000001,SE,<Object_Params.Trip object at 0x7936e5788500>,0.2904120379206114
52,50,100230,41050005,1,./KC_Example_Data/Saved_Routes/rt50_sh41050005_d1.json,{'AM': 35.48968253968257},AM,35.48968253968257,<Object_Params.Bus object at 0x7936e34b3170>,0,0.0,0.6000000000000001,1.8940000000000001,NW,<Object_Params.Trip object at 0x7936e5788920>,0.30046783665119425
53,50,100230,41050005,1,./KC_Example_Data/Saved_Routes/rt50_sh41050005_d1.json,{'AM': 35.48968253968257},AM,35.48968253968257,<Object_Params.Bus object at 0x7936e34b3170>,0,0.0,0.6000000000000001,1.8940000000000001,SE,<Object_Params.Trip object at 0x7936e5789580>,0.2904120379206114
54,50,100230,41050005,1,./KC_Example_Data/Saved_Routes/rt50_sh41050005_d1.json,{'AM': 35.48968253968257},AM,35.48968253968257,<Object_Params.Bus object at 0x7936e34b3170>,0,0.0,0.6000000000000001,2.3940000000000006,NW,<Object_Params.Trip object at 0x7936e5788fe0>,0.30046783665119425
55,50,100230,41050005,1,./KC_Example_Data/Saved_Routes/rt50_sh41050005_d1.json,{'AM': 35.48968253968257},AM,35.48968253968257,<Object_Params.Bus object at 0x7936e34b3170>,0,0.0,0.6000000000000001,2.3940000000000006,SE,<Object_Params.Trip object at 0x7936e5788380>,0.2904120379206114
