,geometry,elevation[km],latitude,longitude,point_distances[km],cumulative_distance[km],speed_limit[km/s],is_stop,is_signal
84,POINT (-122.332193 47.601948),0.011796631587243362,-122.33219326411529,47.60194847466266,0.014842001294017847,1.2461652882830316,0.0156464,False,False
85,POINT (-122.332095 47.60184),0.011566498576440962,-122.33209473736814,47.60184048334451,0.014841850413494602,1.2610071386965263,0.0156464,False,False
86,POINT (-122.331996 47.601732),0.011663069676719762,-122.33199621062099,47.60173249202636,0.014841699457434526,1.2758488381539608,0.0156464,False,True
87,POINT (-122.331898 47.601625),0.01242601200420264,-122.33189753377283,47.60162463787363,0.014841920796739206,1.2906907589507,0.0156464,False,False
88,POINT (-122.331799 47.601517),0.0118093182041256,-122.33179883485103,47.60151680389227,0.01484182709214915,1.305532586042849,0.0156464,False,False
89,POINT (-122.3317 47.601409),0.01105083119746536,-122.33170013592922,47.6014089699109,0.014841676089538224,1.3203742621323873,0.0156464,False,False
90,POINT (-122.331601 47.601301),0.01082057563258752,-122.33160143700742,47.60130113592954,0.014841525009853494,1.3352157871422408,0.0156464,False,False
91,POINT (-122.331503 47.601193),0.01057061833788792,-122.33150274498769,47.601193295631404,0.014841356535197438,1.3500571436774382,0.0156464,False,False
92,POINT (-122.331404 47.601085),0.01668726320541192,-122.33140405612804,47.60108545244116,0.014841197379252725,1.364898341056691,0.0156464,False,False
93,POINT (-122.331305 47.600978),0.010585874179532639,-122.33130536726838,47.60097760925091,0.014841046061893738,1.3797393871185848,0.0156464,False,False
94,POINT (-122.331207 47.60087),0.0144136636124424,-122.33120668498842,47.60086976004408,0.01484087781106608,1.3945802649296508,0.0156464,False,False
95,POINT (-122.331108 47.600762),0.009811417246183922,-122.33110807759589,47.60076184235858,0.014840538196107679,1.4094208031257585,0.0156464,False,False
96,POINT (-122.331009 47.600654),0.00969686528896368,-122.33100947020337,47.60065392467309,0.014840386562491838,1.4242611896882502,0.0156464,False,False
97,POINT (-122.330911 47.600546),0.00964444517310816,-122.33091086281085,47.6005460069876,0.01484023485440947,1.4391014245426597,0.0156464,False,False
