,geometry,elevation[km],latitude,longitude,point_distances[km],cumulative_distance[km],speed_limit[km/s],is_stop,is_signal
1791,POINT (-122.011304 47.206562),0.22621850846124003,-122.0113043135088,47.2065615816328,0.014907365883696394,26.39970227307436,0.0156464,False,False
1792,POINT (-122.011159 47.206562),0.22662913072813204,-122.01115892959143,47.2065618961478,0.01491208405896923,26.41461435713333,0.0156464,False,False
1793,POINT (-122.011014 47.206562),0.227036831293476,-122.01101354567406,47.2065622106628,0.014912003888067373,26.4295263610214,0.0156464,False,False
1794,POINT (-122.010868 47.206562),0.2274324291755832,-122.01086816158913,47.20656222523738,0.014911668605763859,26.44443802962716,0.0156464,False,False
1795,POINT (-122.010723 47.206563),0.23248356193314001,-122.01072277793197,47.2065625720548,0.015738963036932688,26.460176992664096,0.0156464,False,False
1796,POINT (-122.010577 47.206563),0.2282136520468656,-122.01057739438846,47.20656302771631,0.015505918112024892,26.475682910776122,0.0156464,False,False
1797,POINT (-122.010432 47.206563),0.2286311777576088,-122.01043201084495,47.206563483377806,0.014912266544965188,26.490595177321087,0.0156464,False,False
1798,POINT (-122.010287 47.206564),0.22899780309120962,-122.01028662730144,47.206563939039306,0.01491092819556304,26.50550610551665,0.0156464,False,False
1799,POINT (-122.010141 47.206564),0.2293945539945312,-122.01014124375793,47.206564394700806,0.014911699317189836,26.520417804833837,0.0156464,False,False
1800,POINT (-122.009996 47.206565),0.2297547484425432,-122.00999586021443,47.206564850362305,0.01491077144123937,26.535328576275077,0.0156464,False,False
1801,POINT (-122.00985 47.206565),0.23007066533796242,-122.00985047667092,47.20656530602381,0.014909767543114188,26.55023834381819,0.0156464,False,False
1802,POINT (-122.009705 47.206566),0.23033213005292882,-122.00970509312741,47.20656576168531,0.01490871316481947,26.565147056983008,0.0156464,False,False
1803,POINT (-122.00956 47.206566),0.2305027077738504,-122.0095597095839,47.20656621734681,0.014907396181807413,26.580054453164816,0.0156464,False,False
1804,POINT (-122.009414 47.206567),0.23062829298836401,-122.00941432604039,47.20656667300831,0.014906949236424955,26.594961402401243,0.0156464,False,False
1805,POINT (-122.009269 47.206567),0.23074965878363043,-122.00926894249687,47.20656712866981,0.014906914277482574,26.609868316678725,0.0156464,False,False
1806,POINT (-122.009124 47.206568),0.23083465103162878,-122.00912355895336,47.20656758433132,0.014906662504762207,26.62477497918349,0.0156464,False,False
1807,POINT (-122.008978 47.206568),0.2309000863795488,-122.00897817540985,47.20656803999282,0.014906563818062853,26.63968154300155,0.0156464,False,False
1808,POINT (-122.008833 47.206568),0.23095456325550723,-122.00883279186634,47.20656849565432,0.014906519732513043,26.654588062734064,0.0156464,False,False
1809,POINT (-122.008687 47.206569),0.23103094671706562,-122.00868740832284,47.206568951315816,0.014906615877658581,26.669494678611724,0.0156464,False,False
1810,POINT (-122.008542 47.206569),0.2311098609311952,-122.00854202477933,47.206569406977316,0.014906629052738976,26.684401307664462,0.0156464,False,False
1811,POINT (-122.008397 47.20657),0.23114096245649524,-122.00839664134847,47.206569896156324,0.014906449527023205,26.699307757191484,0.0156464,True,False
1812,POINT (-122.008251 47.20657),0.2311700524340784,-122.00825125802655,47.20657041775081,0.01490644304827012,26.714214200239756,0.0156464,False,False
1813,POINT (-122.008106 47.206571),0.23440180004484001,-122.00810587415724,47.20657074334155,0.015252728931244242,26.729466929171,0.0156464,False,False
1814,POINT (-122.00796 47.206571),0.2311226383465344,-122.00796049018984,47.20657103381686,0.015262849534669196,26.74472977870567,0.0156464,False,False
1815,POINT (-122.007815 47.206571),0.2310541508268168,-122.00781510622245,47.20657132429216,0.014906587969895439,26.759636366675565,0.0156464,False,False
1816,POINT (-122.00767 47.206572),0.2309553906192576,-122.00766972225506,47.20657161476747,0.014906757790747429,26.774543124466312,0.0156464,False,False
1817,POINT (-122.007524 47.206572),0.2308218115879656,-122.00752433828767,47.206571905242775,0.014907029130599141,26.78945015359691,0.0156464,False,False
1818,POINT (-122.007379 47.206572),0.2306812510931664,-122.00737895432026,47.20657219571808,0.01490709332259535,26.804357246919505,0.0156464,False,False
1819,POINT (-122.007234 47.206572),0.23054125061959924,-122.00723357035287,47.206572486193394,0.014907088047453847,26.81926433496696,0.0156464,False,False
1820,POINT (-122.007088 47.206573),0.2304156860342544,-122.00708818638547,47.2065727766687,0.01490695945779899,26.83417129442476,0.0156464,False,False
1821,POINT (-122.006943 47.206573),0.23029570593415924,-122.00694280241808,47.20657306714401,0.01490691346071446,26.849078207885473,0.0156464,False,False
1822,POINT (-122.006797 47.206573),0.2301690439935288,-122.00679741845069,47.20657335761931,0.014906968734032992,26.863985176619504,0.0156464,False,False
1823,POINT (-122.006652 47.206574),0.23003901823072082,-122.0066520344833,47.20657364809462,0.014906997691642315,26.878892174311147,0.0156464,False,False
1824,POINT (-122.006507 47.206574),0.229914280153248,-122.0065066505159,47.206573938569925,0.014906952504016052,26.893799126815164,0.0156464,False,False
1825,POINT (-122.006361 47.206574),0.2297850878389128,-122.00636126654851,47.20657422904524,0.01490699043779458,26.908706117252958,0.0156464,False,False
1826,POINT (-122.006216 47.206575),0.22965293859790323,-122.00621588258112,47.206574519520544,0.01490701635370496,26.92361313360666,0.0156464,False,False
1827,POINT (-122.00607 47.206574),0.22950278532564242,-122.00607049847332,47.206574355121084,0.014907185921168643,26.93852031952783,0.0156464,False,False
1828,POINT (-122.005925 47.206574),0.2293708196482992,-122.0059251143543,47.20657415439952,0.01490701850700013,26.953427338034828,0.0156464,False,False
1829,POINT (-122.00578 47.206574),0.2292435285922392,-122.00577973023529,47.20657395367795,0.014906977854169388,26.968334315889,0.0156464,False,False
1830,POINT (-122.005634 47.206574),0.22910317436443922,-122.00563434611627,47.20657375295639,0.014907095123851926,26.983241411012852,0.0156464,False,False
1831,POINT (-122.005489 47.206573),0.2289890514584208,-122.0054889680515,47.206572758302954,0.014906503518823784,26.998147914531675,0.0156464,False,False
1832,POINT (-122.005344 47.206572),0.2288541273264408,-122.00534358977059,47.20657206222548,0.01490656483564551,27.01305447936732,0.011176,False,False
1833,POINT (-122.005198 47.206572),0.2287378265649864,-122.00519820573325,47.20657231528072,0.014906886007407586,27.027961365374725,0.0156464,False,False
1834,POINT (-122.005053 47.206573),0.2286059896732632,-122.00505282169591,47.20657256833596,0.0149070153100035,27.04286838068473,0.0156464,False,False
1835,POINT (-122.004907 47.206573),0.22846640255665443,-122.00490743765857,47.2065728213912,0.014907085864301908,27.05777546654903,0.0156464,False,False
1836,POINT (-122.004762 47.206573),0.22907391658805523,-122.00476205362122,47.20657307444643,0.014918806844388679,27.07269427339342,0.0156464,False,False
1837,POINT (-122.004617 47.206573),0.22827297314244724,-122.00461666958388,47.20657332750167,0.014927934707699507,27.08762220810112,0.0156464,False,False
1838,POINT (-122.004471 47.206574),0.22818603683493843,-122.00447128554654,47.206573580556906,0.014906685817835412,27.102528893918954,0.0156464,False,False
1839,POINT (-122.004326 47.206574),0.2280696415476888,-122.0043259015092,47.20657383361215,0.014906886728248915,27.117435780647202,0.0156464,False,False
1840,POINT (-122.004181 47.206574),0.22801890091104482,-122.00418051747185,47.20657408666738,0.01490651866256443,27.132342299309766,0.0156464,False,False
1841,POINT (-122.004035 47.206574),0.2278950463286808,-122.00403513343451,47.20657433972262,0.0149069468321027,27.147249246141868,0.0156464,False,False
1842,POINT (-122.00389 47.206575),0.2278133053841112,-122.00388974939717,47.206574592777855,0.014906656412332719,27.1621559025542,0.0156464,False,False
1843,POINT (-122.003744 47.206575),0.22772324693461204,-122.00374436535984,47.206574845833096,0.014906704339103488,27.177062606893305,0.0156464,False,False
1844,POINT (-122.003599 47.206575),0.22760262321335042,-122.00359898132248,47.20657509888833,0.014906920331524496,27.191969527224828,0.0156464,False,False
